,background,body,spikes,roar,eyes,hats,elements
312,background-fgdarkblue,body-yellow,spikes,roar-mask,eyes-glasses4,elements-halo,elements-flower
313,background-green,body-blue,spikes,roar-blue3,eyes-glasses6,elements-halo,elements-firetail
314,background-green,body-orange,spikes,roar-purple,eyes-glasses3,elements-flower1,elements-planet
315,background-yellow,body-purple,spikes,roar-pink,eyes-2,elements-greenhat,elements-flower
316,background-pink2,body-pink,spikes,roar-tongue2,eyes-glasses1,elements-greenhat,elements-flower
317,background-yellow,body-orange,spikes,roar-blue,eyes-glasses2,elements-halo,elements-flower
318,background-green,body-purple,spikes,roar-mask,eyes-glasses6,elements-crown,elements-planet
319,background-lines,body-green,spikes,roar-blue2,eyes-glasses2,elements-crown,elements-flower
320,background-green,body-orange,spikes,roar-pink,eyes-glasses7,elements-halo,elements-flower
321,background-green,body-cyan,spikes,roar-mask,eyes-glasses7,elements-crown,elements-flower
322,background-sun,body-red,spikes,roar-purple,eyes-tear,elements-crown,elements-firetail
323,background-sun,body-orange,spikes,roar-blue3,eyes-1,elements-crown,elements-flower
324,background-pink2,body-red,spikes,roar-fire,eyes-glasses4,elements-halo,elements-firetail
325,background-yellow,body-pink2,spikes,roar-purple,eyes-glasses7,elements-horn,elements-flower
326,background-fgdarkblue,body-purple,spikes,roar-tongue,eyes-glasses6,elements-horn,elements-firetail
327,background-themed,body-red,spikes,roar-yellow,eyes-1,elements-horn,elements-flower
328,background-fgdarkblue,body-blue,spikes,roar-pink,eyes-glasses2,elements-greenhat,elements-flower
329,background-orange,body-red,spikes,roar-purple,eyes-2,elements-halo,elements-planet
330,background-cloud,body-blue,spikes,roar-blue,eyes-glasses7,elements-crown,elements-planet
331,background-blue,body-green,spikes,roar-blue3,eyes-glasses6,elements-horn,elements-planet
332,background-green,body-yellow,spikes,roar-mask,eyes-tear,elements-bluehat,elements-planet
333,background-sun,body-blue,spikes,roar-blue2,eyes-tear,elements-halo,elements-firetail
334,background-cyan,body-blue,spikes,roar-rainbow,eyes-glasses4,elements-halo,elements-firetail
335,background-lines,body-pink,spikes,roar-pink,eyes-tear,elements-crown,elements-firetail
336,background-pink2,body-purple,spikes,roar-yellow,eyes-glasses7,elements-halo,elements-flower
337,background-cyan,body-pink2,spikes,roar-drool,eyes-1,elements-flower1,elements-flower
338,background-green,body-pink2,spikes,roar-rainbow,eyes-glasses3,elements-crown,elements-firetail
339,background-pink,body-blue,spikes,roar-rainbow,eyes-glasses4,elements-greenhat,elements-flower
340,background-themed,body-blue,spikes,roar-blue2,eyes-glasses5,elements-flower1,elements-firetail
341,background-lines,body-yellow,spikes,roar-purple,eyes-glasses1,elements-flower1,elements-flower
342,background-lines,body-red,spikes,roar-flowers,eyes-glasses4,elements-bluehat,elements-firetail
343,background-orange,body-orange,spikes,roar-rainbow,eyes-glasses7,elements-horn,elements-planet
344,background-pink2,body-orange,spikes,roar-tongue,eyes-glasses3,elements-bluehat,elements-flower
345,background-fgdarkblue,body-cyan,spikes,roar-rainbow,eyes-1,elements-crown,elements-flower
346,background-red2,body-yellow,spikes,roar-pink,eyes-glasses1,elements-halo,elements-planet
347,background-cloud,body-cyan,spikes,roar-blue3,eyes-2,elements-halo,elements-flower
348,background-orange,body-red,spikes,roar-rainbow,eyes-1,elements-bluehat,elements-firetail
349,background-pink,body-blue,spikes,roar-green,eyes-glasses6,elements-crown,elements-flower
350,background-pink,body-pink2,spikes,roar-yellow,eyes-glasses1,elements-flower1,elements-firetail
351,background-fgdarkblue,body-pink2,spikes,roar-mask,eyes-tear,elements-flower1,elements-planet
352,background-themed,body-red,spikes,roar-yellow,eyes-glasses1,elements-crown,elements-planet
353,background-yellow,body-blue,spikes,roar-blue2,eyes-glasses6,elements-greenhat,elements-flower
354,background-yellow,body-blue,spikes,roar-blue2,eyes-glasses2,elements-greenhat,elements-planet
355,background-purple2,body-red,spikes,roar-flowers,eyes-3,elements-halo,elements-flower
356,background-fgdarkblue,body-cyan,spikes,roar-flowers,eyes-glasses3,elements-crown,elements-flower
357,background-orange,body-pink,spikes,roar-yellow,eyes-glasses6,elements-flower1,elements-flower
358,background-cyan,body-purple,spikes,roar-rainbow,eyes-glasses3,elements-bluehat,elements-flower
359,background-themed,body-pink2,spikes,roar-tongue,eyes-glasses5,elements-halo,elements-planet
360,background-cloud,body-yellow,spikes,roar-pink,eyes-glasses7,elements-greenhat,elements-firetail
361,background-themed,body-green,spikes,roar-green,eyes-glasses7,elements-flower1,elements-planet
362,background-cyan,body-green,spikes,roar-fire,eyes-glasses1,elements-bluehat,elements-firetail
363,background-themed,body-yellow,spikes,roar-rainbow,eyes-glasses2,elements-horn,elements-planet
364,background-purple2,body-orange,spikes,roar-green,eyes-glasses7,elements-horn,elements-planet
365,background-pink,body-pink,spikes,roar-yellow,eyes-glasses7,elements-bluehat,elements-flower
366,background-cloud,body-red,spikes,roar-purple,eyes-glasses5,elements-flower1,elements-firetail
367,background-pink,body-green,spikes,roar-drool,eyes-glasses1,elements-halo,elements-planet
368,background-sun,body-yellow,spikes,roar-purple,eyes-glasses1,elements-flower1,elements-flower
369,background-pink,body-pink,spikes,roar-pink,eyes-glasses6,elements-crown,elements-firetail
370,background-red2,body-red,spikes,roar-drool,eyes-glasses7,elements-horn,elements-planet
371,background-sun,body-green,spikes,roar-flowers,eyes-glasses5,elements-horn,elements-planet
372,background-pink2,body-green,spikes,roar-purple,eyes-2,elements-greenhat,elements-planet
373,background-green,body-red,spikes,roar-green,eyes-1,elements-horn,elements-planet
374,background-fgdarkblue,body-pink2,spikes,roar-rainbow,eyes-2,elements-bluehat,elements-planet
375,background-green,body-red,spikes,roar-tongue2,eyes-3,elements-bluehat,elements-flower
376,background-lines,body-orange,spikes,roar-blue3,eyes-2,elements-bluehat,elements-planet
377,background-sun,body-purple,spikes,roar-tongue,eyes-glasses7,elements-halo,elements-firetail
378,background-pink2,body-orange,spikes,roar-rainbow,eyes-tear,elements-greenhat,elements-flower
379,background-blue,body-pink2,spikes,roar-flowers,eyes-3,elements-flower1,elements-flower
380,background-pink2,body-pink,spikes,roar-mask,eyes-glasses2,elements-horn,elements-firetail
381,background-green,body-cyan,spikes,roar-tongue,eyes-glasses4,elements-halo,elements-flower
382,background-red2,body-yellow,spikes,roar-tongue,eyes-3,elements-bluehat,elements-planet
383,background-red2,body-pink,spikes,roar-fire,eyes-glasses2,elements-greenhat,elements-flower
384,background-fgdarkblue,body-orange,spikes,roar-mask,eyes-glasses6,elements-bluehat,elements-firetail
385,background-green,body-yellow,spikes,roar-rainbow,eyes-glasses2,elements-horn,elements-flower
386,background-cyan,body-green,spikes,roar-blue2,eyes-glasses1,elements-greenhat,elements-flower
387,background-yellow,body-pink,spikes,roar-tongue,eyes-1,elements-crown,elements-flower
388,background-fgdarkblue,body-cyan,spikes,roar-blue3,eyes-glasses3,elements-crown,elements-firetail
389,background-cyan,body-green,spikes,roar-blue,eyes-glasses2,elements-greenhat,elements-firetail
390,background-pink,body-cyan,spikes,roar-mask,eyes-glasses6,elements-bluehat,elements-planet
391,background-sun,body-yellow,spikes,roar-blue2,eyes-3,elements-greenhat,elements-firetail
392,background-red2,body-yellow,spikes,roar-pink,eyes-glasses6,elements-bluehat,elements-flower
393,background-orange,body-pink,spikes,roar-blue2,eyes-1,elements-halo,elements-firetail
394,background-pink,body-cyan,spikes,roar-tongue2,eyes-2,elements-greenhat,elements-flower
395,background-themed,body-pink2,spikes,roar-blue3,eyes-glasses6,elements-crown,elements-flower
396,background-green,body-pink,spikes,roar-tongue2,eyes-glasses7,elements-halo,elements-planet
397,background-cyan,body-yellow,spikes,roar-purple,eyes-1,elements-halo,elements-firetail
398,background-fgdarkblue,body-pink2,spikes,roar-fire,eyes-glasses2,elements-crown,elements-planet
399,background-cloud,body-yellow,spikes,roar-tongue,eyes-glasses6,elements-bluehat,elements-planet
400,background-blue,body-pink2,spikes,roar-yellow,eyes-glasses4,elements-crown,elements-flower
401,background-red2,body-green,spikes,roar-green,eyes-glasses3,elements-halo,elements-firetail
402,background-green,body-orange,spikes,roar-green,eyes-2,elements-halo,elements-planet
403,background-cyan,body-blue,spikes,roar-blue,eyes-glasses1,elements-crown,elements-planet
404,background-cloud,body-yellow,spikes,roar-green,eyes-glasses6,elements-horn,elements-planet
405,background-pink2,body-pink,spikes,roar-drool,eyes-glasses2,elements-flower1,elements-flower
406,background-cloud,body-orange,spikes,roar-blue3,eyes-2,elements-halo,elements-flower
407,background-orange,body-red,spikes,roar-flowers,eyes-glasses7,elements-flower1,elements-firetail
408,background-orange,body-blue,spikes,roar-green,eyes-glasses6,elements-bluehat,elements-firetail
409,background-fgdarkblue,body-green,spikes,roar-blue3,eyes-glasses1,elements-greenhat,elements-flower
410,background-pink,body-purple,spikes,roar-fire,eyes-tear,elements-halo,elements-planet
411,background-cyan,body-pink,spikes,roar-purple,eyes-glasses5,elements-greenhat,elements-planet
412,background-sun,body-pink,spikes,roar-tongue2,eyes-glasses3,elements-flower1,elements-firetail
413,background-lines,body-purple,spikes,roar-blue,eyes-1,elements-horn,elements-firetail
414,background-green,body-pink,spikes,roar-flowers,eyes-glasses5,elements-horn,elements-planet
415,background-purple2,body-yellow,spikes,roar-yellow,eyes-2,elements-horn,elements-planet
416,background-red2,body-cyan,spikes,roar-rainbow,eyes-2,elements-flower1,elements-flower
417,background-red2,body-cyan,spikes,roar-tongue,eyes-2,elements-bluehat,elements-planet
418,background-cloud,body-green,spikes,roar-mask,eyes-glasses2,elements-horn,elements-flower
419,background-orange,body-green,spikes,roar-blue3,eyes-2,elements-halo,elements-planet
420,background-pink2,body-purple,spikes,roar-pink,eyes-glasses7,elements-greenhat,elements-firetail
421,background-sun,body-blue,spikes,roar-tongue2,eyes-glasses1,elements-halo,elements-planet
422,background-sun,body-yellow,spikes,roar-rainbow,eyes-3,elements-horn,elements-flower
423,background-lines,body-orange,spikes,roar-purple,eyes-glasses3,elements-greenhat,elements-planet
424,background-blue,body-pink,spikes,roar-drool,eyes-1,elements-halo,elements-planet
425,background-green,body-red,spikes,roar-green,eyes-glasses3,elements-halo,elements-flower
426,background-pink2,body-blue,spikes,roar-tongue2,eyes-glasses1,elements-crown,elements-flower
427,background-cyan,body-blue,spikes,roar-fire,eyes-glasses5,elements-bluehat,elements-planet
428,background-lines,body-red,spikes,roar-pink,eyes-glasses5,elements-bluehat,elements-planet
429,background-cloud,body-blue,spikes,roar-fire,eyes-glasses2,elements-crown,elements-firetail
430,background-red2,body-yellow,spikes,roar-flowers,eyes-tear,elements-crown,elements-planet
431,background-red2,body-yellow,spikes,roar-yellow,eyes-glasses1,elements-bluehat,elements-planet
432,background-pink2,body-cyan,spikes,roar-fire,eyes-glasses1,elements-greenhat,elements-planet
433,background-sun,body-pink2,spikes,roar-tongue2,eyes-2,elements-bluehat,elements-flower
434,background-pink,body-yellow,spikes,roar-tongue2,eyes-2,elements-greenhat,elements-flower
435,background-themed,body-purple,spikes,roar-drool,eyes-glasses5,elements-crown,elements-flower
436,background-purple2,body-yellow,spikes,roar-blue,eyes-glasses1,elements-halo,elements-planet
437,background-red2,body-pink2,spikes,roar-drool,eyes-glasses6,elements-horn,elements-flower
438,background-cyan,body-purple,spikes,roar-blue,eyes-glasses3,elements-halo,elements-planet
439,background-purple2,body-yellow,spikes,roar-mask,eyes-glasses2,elements-horn,elements-planet
440,background-purple2,body-cyan,spikes,roar-purple,eyes-glasses5,elements-flower1,elements-planet
441,background-pink,body-pink,spikes,roar-yellow,eyes-glasses5,elements-flower1,elements-flower
442,background-green,body-blue,spikes,roar-rainbow,eyes-glasses2,elements-halo,elements-firetail
443,background-sun,body-cyan,spikes,roar-blue2,eyes-glasses3,elements-greenhat,elements-firetail
444,background-yellow,body-blue,spikes,roar-rainbow,eyes-3,elements-bluehat,elements-planet
445,background-orange,body-purple,spikes,roar-green,eyes-glasses3,elements-halo,elements-flower
446,background-green,body-purple,spikes,roar-drool,eyes-glasses7,elements-bluehat,elements-flower
447,background-sun,body-blue,spikes,roar-tongue2,eyes-tear,elements-bluehat,elements-firetail
448,background-yellow,body-blue,spikes,roar-mask,eyes-glasses1,elements-halo,elements-planet
449,background-themed,body-orange,spikes,roar-purple,eyes-3,elements-horn,elements-flower
450,background-lines,body-orange,spikes,roar-mask,eyes-glasses6,elements-flower1,elements-planet
451,background-purple2,body-purple,spikes,roar-pink,eyes-glasses7,elements-halo,elements-flower
452,background-red2,body-blue,spikes,roar-pink,eyes-2,elements-bluehat,elements-planet
453,background-orange,body-orange,spikes,roar-tongue,eyes-1,elements-crown,elements-firetail
454,background-red2,body-pink,spikes,roar-pink,eyes-glasses7,elements-greenhat,elements-planet
455,background-orange,body-cyan,spikes,roar-blue2,eyes-glasses3,elements-horn,elements-firetail
456,background-yellow,body-orange,spikes,roar-tongue2,eyes-glasses3,elements-bluehat,elements-flower
457,background-sun,body-blue,spikes,roar-yellow,eyes-glasses3,elements-halo,elements-firetail
458,background-pink2,body-purple,spikes,roar-yellow,eyes-2,elements-flower1,elements-flower
459,background-red2,body-red,spikes,roar-mask,eyes-3,elements-greenhat,elements-flower
460,background-yellow,body-orange,spikes,roar-rainbow,eyes-glasses4,elements-bluehat,elements-flower
461,background-purple2,body-purple,spikes,roar-blue2,eyes-glasses7,elements-flower1,elements-firetail
462,background-themed,body-green,spikes,roar-tongue2,eyes-glasses4,elements-bluehat,elements-flower
463,background-orange,body-blue,spikes,roar-drool,eyes-glasses4,elements-flower1,elements-planet
464,background-blue,body-pink2,spikes,roar-drool,eyes-glasses5,elements-greenhat,elements-flower
465,background-pink2,body-pink,spikes,roar-tongue2,eyes-1,elements-crown,elements-flower
466,background-pink,body-cyan,spikes,roar-purple,eyes-glasses1,elements-greenhat,elements-planet
467,background-lines,body-purple,spikes,roar-yellow,eyes-glasses4,elements-horn,elements-planet
468,background-red2,body-pink,spikes,roar-purple,eyes-glasses6,elements-halo,elements-planet
469,background-orange,body-pink,spikes,roar-blue3,eyes-2,elements-crown,elements-firetail
470,background-red2,body-red,spikes,roar-green,eyes-glasses3,elements-crown,elements-planet
471,background-pink2,body-green,spikes,roar-tongue,eyes-glasses1,elements-bluehat,elements-planet
472,background-purple2,body-pink2,spikes,roar-pink,eyes-glasses2,elements-horn,elements-flower
473,background-orange,body-cyan,spikes,roar-blue2,eyes-2,elements-greenhat,elements-flower
474,background-pink,body-green,spikes,roar-rainbow,eyes-tear,elements-crown,elements-firetail
475,background-sun,body-red,spikes,roar-drool,eyes-glasses6,elements-crown,elements-planet
476,background-blue,body-blue,spikes,roar-fire,eyes-glasses1,elements-bluehat,elements-flower
477,background-red2,body-pink2,spikes,roar-yellow,eyes-glasses2,elements-crown,elements-firetail
478,background-cloud,body-cyan,spikes,roar-blue,eyes-glasses2,elements-horn,elements-planet
479,background-themed,body-green,spikes,roar-rainbow,eyes-1,elements-horn,elements-flower
480,background-pink,body-purple,spikes,roar-drool,eyes-glasses6,elements-flower1,elements-firetail
481,background-cloud,body-pink2,spikes,roar-yellow,eyes-glasses2,elements-flower1,elements-flower
482,background-cloud,body-cyan,spikes,roar-green,eyes-glasses2,elements-halo,elements-flower
483,background-sun,body-red,spikes,roar-blue,eyes-glasses6,elements-flower1,elements-planet
484,background-pink2,body-orange,spikes,roar-yellow,eyes-glasses5,elements-flower1,elements-firetail
485,background-pink,body-blue,spikes,roar-rainbow,eyes-tear,elements-bluehat,elements-firetail
486,background-cyan,body-red,spikes,roar-pink,eyes-glasses2,elements-greenhat,elements-firetail
487,background-pink,body-pink,spikes,roar-pink,eyes-glasses2,elements-halo,elements-planet
488,background-red2,body-orange,spikes,roar-fire,eyes-2,elements-greenhat,elements-firetail
489,background-purple2,body-red,spikes,roar-yellow,eyes-glasses5,elements-greenhat,elements-planet
490,background-red2,body-blue,spikes,roar-blue3,eyes-glasses2,elements-crown,elements-planet
491,background-lines,body-purple,spikes,roar-tongue2,eyes-tear,elements-crown,elements-flower
492,background-lines,body-blue,spikes,roar-purple,eyes-glasses1,elements-flower1,elements-flower
493,background-cyan,body-red,spikes,roar-flowers,eyes-glasses4,elements-crown,elements-flower
494,background-red2,body-purple,spikes,roar-green,eyes-3,elements-bluehat,elements-planet
495,background-cyan,body-pink2,spikes,roar-flowers,eyes-3,elements-bluehat,elements-planet
496,background-red2,body-blue,spikes,roar-drool,eyes-tear,elements-horn,elements-planet
497,background-pink2,body-purple,spikes,roar-fire,eyes-3,elements-crown,elements-planet
498,background-yellow,body-green,spikes,roar-drool,eyes-glasses3,elements-flower1,elements-firetail
499,background-fgdarkblue,body-blue,spikes,roar-green,eyes-glasses7,elements-bluehat,elements-firetail
500,background-fgdarkblue,body-cyan,spikes,roar-fire,eyes-3,elements-crown,elements-planet
501,background-blue,body-orange,spikes,roar-green,eyes-3,elements-crown,elements-flower
502,background-cyan,body-yellow,spikes,roar-mask,eyes-2,elements-crown,elements-planet
503,background-green,body-pink,spikes,roar-yellow,eyes-glasses4,elements-crown,elements-flower
504,background-lines,body-purple,spikes,roar-blue2,eyes-1,elements-flower1,elements-firetail
505,background-fgdarkblue,body-red,spikes,roar-mask,eyes-glasses7,elements-bluehat,elements-flower
506,background-cyan,body-orange,spikes,roar-pink,eyes-glasses6,elements-horn,elements-firetail
507,background-orange,body-orange,spikes,roar-blue2,eyes-glasses1,elements-crown,elements-flower
508,background-lines,body-cyan,spikes,roar-tongue2,eyes-3,elements-greenhat,elements-flower
509,background-blue,body-red,spikes,roar-green,eyes-3,elements-halo,elements-firetail
510,background-sun,body-pink2,spikes,roar-purple,eyes-glasses7,elements-horn,elements-flower
511,background-cyan,body-pink,spikes,roar-blue3,eyes-glasses5,elements-crown,elements-firetail
512,background-fgdarkblue,body-red,spikes,roar-pink,eyes-1,elements-horn,elements-planet
513,background-fgdarkblue,body-orange,spikes,roar-drool,eyes-tear,elements-greenhat,elements-firetail
514,background-orange,body-purple,spikes,roar-blue,eyes-glasses3,elements-flower1,elements-firetail
515,background-orange,body-yellow,spikes,roar-mask,eyes-3,elements-crown,elements-firetail
516,background-purple2,body-purple,spikes,roar-drool,eyes-glasses1,elements-horn,elements-firetail
517,background-orange,body-blue,spikes,roar-blue2,eyes-glasses5,elements-flower1,elements-firetail
518,background-fgdarkblue,body-yellow,spikes,roar-rainbow,eyes-glasses3,elements-horn,elements-planet
519,background-themed,body-yellow,spikes,roar-blue3,eyes-glasses7,elements-halo,elements-planet
520,background-blue,body-red,spikes,roar-tongue2,eyes-glasses5,elements-bluehat,elements-flower
521,background-cyan,body-purple,spikes,roar-drool,eyes-3,elements-greenhat,elements-flower
522,background-lines,body-blue,spikes,roar-rainbow,eyes-3,elements-halo,elements-flower
523,background-orange,body-green,spikes,roar-mask,eyes-1,elements-horn,elements-planet
524,background-themed,body-blue,spikes,roar-tongue,eyes-glasses1,elements-crown,elements-planet
525,background-red2,body-pink,spikes,roar-flowers,eyes-glasses5,elements-horn,elements-flower
526,background-red2,body-pink2,spikes,roar-purple,eyes-glasses6,elements-flower1,elements-firetail
527,background-cloud,body-yellow,spikes,roar-tongue,eyes-3,elements-greenhat,elements-firetail
528,background-blue,body-purple,spikes,roar-rainbow,eyes-glasses5,elements-flower1,elements-flower
529,background-pink,body-orange,spikes,roar-pink,eyes-glasses7,elements-flower1,elements-firetail
530,background-pink2,body-purple,spikes,roar-blue,eyes-2,elements-flower1,elements-planet
531,background-cyan,body-green,spikes,roar-rainbow,eyes-tear,elements-halo,elements-firetail
532,background-purple2,body-cyan,spikes,roar-drool,eyes-glasses1,elements-bluehat,elements-flower
533,background-purple2,body-purple,spikes,roar-blue3,eyes-tear,elements-flower1,elements-flower
534,background-red2,body-pink,spikes,roar-tongue2,eyes-glasses2,elements-horn,elements-flower
535,background-red2,body-cyan,spikes,roar-rainbow,eyes-glasses7,elements-halo,elements-firetail
536,background-themed,body-orange,spikes,roar-fire,eyes-glasses2,elements-halo,elements-flower
537,background-pink2,body-pink2,spikes,roar-fire,eyes-3,elements-crown,elements-flower
538,background-pink2,body-purple,spikes,roar-tongue2,eyes-glasses2,elements-horn,elements-planet
539,background-themed,body-cyan,spikes,roar-blue3,eyes-glasses7,elements-halo,elements-firetail
540,background-cloud,body-orange,spikes,roar-fire,eyes-glasses1,elements-halo,elements-planet
541,background-fgdarkblue,body-green,spikes,roar-tongue2,eyes-glasses3,elements-flower1,elements-flower
542,background-purple2,body-pink2,spikes,roar-pink,eyes-glasses4,elements-crown,elements-planet
543,background-blue,body-pink,spikes,roar-rainbow,eyes-glasses4,elements-flower1,elements-planet
544,background-yellow,body-red,spikes,roar-pink,eyes-glasses7,elements-halo,elements-flower
545,background-blue,body-red,spikes,roar-pink,eyes-glasses6,elements-bluehat,elements-flower
546,background-yellow,body-purple,spikes,roar-drool,eyes-glasses1,elements-bluehat,elements-firetail
547,background-green,body-red,spikes,roar-blue2,eyes-tear,elements-crown,elements-planet
548,background-purple2,body-cyan,spikes,roar-fire,eyes-glasses6,elements-crown,elements-firetail
549,background-green,body-purple,spikes,roar-flowers,eyes-glasses7,elements-flower1,elements-planet
550,background-lines,body-green,spikes,roar-blue,eyes-glasses1,elements-halo,elements-firetail
551,background-themed,body-green,spikes,roar-blue2,eyes-3,elements-halo,elements-firetail
552,background-purple2,body-purple,spikes,roar-blue3,eyes-tear,elements-horn,elements-planet
553,background-pink2,body-blue,spikes,roar-flowers,eyes-glasses6,elements-greenhat,elements-planet
554,background-cloud,body-pink2,spikes,roar-rainbow,eyes-glasses2,elements-bluehat,elements-flower
555,background-purple2,body-yellow,spikes,roar-pink,eyes-1,elements-halo,elements-firetail
556,background-pink,body-yellow,spikes,roar-fire,eyes-tear,elements-horn,elements-flower
557,background-purple2,body-purple,spikes,roar-flowers,eyes-glasses3,elements-horn,elements-flower
558,background-themed,body-cyan,spikes,roar-yellow,eyes-glasses5,elements-flower1,elements-planet
559,background-red2,body-green,spikes,roar-tongue2,eyes-1,elements-horn,elements-planet
560,background-pink2,body-blue,spikes,roar-purple,eyes-glasses4,elements-flower1,elements-flower
561,background-themed,body-red,spikes,roar-rainbow,eyes-glasses7,elements-flower1,elements-planet
562,background-yellow,body-red,spikes,roar-purple,eyes-glasses6,elements-flower1,elements-flower
563,background-purple2,body-pink,spikes,roar-yellow,eyes-glasses4,elements-halo,elements-planet
564,background-lines,body-blue,spikes,roar-mask,eyes-3,elements-greenhat,elements-planet
565,background-cloud,body-orange,spikes,roar-fire,eyes-glasses4,elements-crown,elements-firetail
566,background-fgdarkblue,body-orange,spikes,roar-tongue,eyes-tear,elements-flower1,elements-planet
567,background-red2,body-yellow,spikes,roar-green,eyes-3,elements-crown,elements-planet
568,background-blue,body-blue,spikes,roar-blue,eyes-glasses2,elements-crown,elements-planet
569,background-pink,body-orange,spikes,roar-drool,eyes-glasses2,elements-bluehat,elements-firetail
570,background-sun,body-purple,spikes,roar-fire,eyes-glasses5,elements-flower1,elements-firetail
571,background-pink2,body-purple,spikes,roar-pink,eyes-glasses4,elements-greenhat,elements-flower
572,background-lines,body-yellow,spikes,roar-blue3,eyes-glasses3,elements-horn,elements-flower
573,background-lines,body-red,spikes,roar-green,eyes-glasses6,elements-crown,elements-flower
574,background-purple2,body-red,spikes,roar-flowers,eyes-tear,elements-halo,elements-flower
575,background-sun,body-pink,spikes,roar-fire,eyes-glasses2,elements-crown,elements-firetail
576,background-blue,body-purple,spikes,roar-rainbow,eyes-glasses3,elements-halo,elements-planet
577,background-lines,body-yellow,spikes,roar-flowers,eyes-glasses6,elements-flower1,elements-firetail
578,background-lines,body-pink,spikes,roar-drool,eyes-glasses7,elements-crown,elements-flower
579,background-sun,body-yellow,spikes,roar-blue,eyes-1,elements-bluehat,elements-flower
580,background-green,body-pink2,spikes,roar-flowers,eyes-glasses6,elements-crown,elements-planet
581,background-red2,body-cyan,spikes,roar-tongue,eyes-tear,elements-horn,elements-planet
582,background-cloud,body-yellow,spikes,roar-mask,eyes-glasses2,elements-bluehat,elements-planet
583,background-blue,body-cyan,spikes,roar-rainbow,eyes-glasses4,elements-bluehat,elements-firetail
584,background-purple2,body-yellow,spikes,roar-pink,eyes-tear,elements-horn,elements-flower
585,background-blue,body-yellow,spikes,roar-purple,eyes-3,elements-halo,elements-flower
586,background-fgdarkblue,body-green,spikes,roar-fire,eyes-glasses4,elements-greenhat,elements-planet
587,background-sun,body-pink2,spikes,roar-rainbow,eyes-glasses7,elements-greenhat,elements-planet
588,background-red2,body-green,spikes,roar-tongue2,eyes-tear,elements-flower1,elements-flower
589,background-orange,body-cyan,spikes,roar-tongue,eyes-glasses7,elements-halo,elements-firetail
590,background-fgdarkblue,body-orange,spikes,roar-yellow,eyes-1,elements-crown,elements-firetail
591,background-cyan,body-blue,spikes,roar-flowers,eyes-glasses5,elements-greenhat,elements-firetail
592,background-themed,body-cyan,spikes,roar-green,eyes-2,elements-greenhat,elements-flower
593,background-green,body-yellow,spikes,roar-flowers,eyes-tear,elements-crown,elements-planet
594,background-yellow,body-green,spikes,roar-green,eyes-glasses4,elements-flower1,elements-flower
595,background-fgdarkblue,body-yellow,spikes,roar-purple,eyes-3,elements-greenhat,elements-flower
596,background-pink,body-red,spikes,roar-drool,eyes-glasses6,elements-bluehat,elements-planet
597,background-cloud,body-green,spikes,roar-drool,eyes-glasses6,elements-greenhat,elements-flower
598,background-cloud,body-red,spikes,roar-blue,eyes-glasses6,elements-crown,elements-planet
599,background-cloud,body-pink,spikes,roar-blue,eyes-3,elements-bluehat,elements-firetail
600,background-pink2,body-pink,spikes,roar-blue,eyes-glasses4,elements-greenhat,elements-planet
601,background-cyan,body-yellow,spikes,roar-tongue,eyes-glasses4,elements-halo,elements-firetail
602,background-lines,body-pink2,spikes,roar-green,eyes-glasses7,elements-flower1,elements-flower
603,background-fgdarkblue,body-purple,spikes,roar-yellow,eyes-2,elements-horn,elements-firetail
604,background-yellow,body-pink,spikes,roar-blue,eyes-glasses3,elements-halo,elements-flower
605,background-green,body-green,spikes,roar-flowers,eyes-glasses4,elements-horn,elements-firetail
606,background-lines,body-green,spikes,roar-blue2,eyes-glasses6,elements-bluehat,elements-planet
607,background-green,body-cyan,spikes,roar-blue3,eyes-3,elements-horn,elements-firetail
608,background-blue,body-purple,spikes,roar-blue2,eyes-glasses4,elements-crown,elements-firetail
609,background-yellow,body-yellow,spikes,roar-tongue2,eyes-glasses3,elements-horn,elements-flower
610,background-sun,body-cyan,spikes,roar-drool,eyes-glasses1,elements-halo,elements-flower
611,background-pink,body-yellow,spikes,roar-flowers,eyes-1,elements-halo,elements-firetail
612,background-red2,body-red,spikes,roar-blue3,eyes-glasses5,elements-crown,elements-firetail
613,background-blue,body-red,spikes,roar-green,eyes-glasses3,elements-horn,elements-firetail
614,background-pink,body-cyan,spikes,roar-fire,eyes-tear,elements-horn,elements-firetail
615,background-yellow,body-purple,spikes,roar-drool,eyes-glasses3,elements-flower1,elements-firetail
616,background-sun,body-green,spikes,roar-purple,eyes-3,elements-crown,elements-firetail
617,background-orange,body-purple,spikes,roar-mask,eyes-glasses4,elements-flower1,elements-firetail
618,background-blue,body-pink,spikes,roar-mask,eyes-tear,elements-crown,elements-planet
619,background-purple2,body-green,spikes,roar-blue2,eyes-tear,elements-horn,elements-flower
620,background-green,body-yellow,spikes,roar-tongue2,eyes-1,elements-greenhat,elements-planet
621,background-lines,body-orange,spikes,roar-drool,eyes-glasses1,elements-crown,elements-firetail
622,background-blue,body-cyan,spikes,roar-blue2,eyes-glasses2,elements-crown,elements-planet
623,background-pink,body-orange,spikes,roar-mask,eyes-glasses4,elements-horn,elements-planet
624,background-orange,body-purple,spikes,roar-tongue2,eyes-glasses1,elements-bluehat,elements-firetail
625,background-pink2,body-blue,spikes,roar-rainbow,eyes-glasses6,elements-bluehat,elements-flower
